순위,카테고리,채널명,구독자수,조회수,비디오수
448,음악/댄스/가수,ONEUS,1520000,424560000,784
447,게임,대도서관TV (buzzbean11),1520000,1541940000,10669
446,게임,태경 TV,1520000,2466740000,3265
453,미분류,[AmiAmi]아미아미,1510000,501900000,539
452,음악/댄스/가수,Chuther츄더[문에스더],1510000,337060000,241
451,영화/만화/애니,리뷰엉이: Owl's Review,1510000,463580000,537
450,음식/요리/레시피,칩chip,1510000,249570000,39
449,음식/요리/레시피,슈기님,1510000,643590000,1434
455,TV/방송,오분순삭,1500000,2269110000,3037
454,영화/만화/애니,Netflix Korea 넷플릭스 코리아,1500000,618560000,2595
461,미분류,Jimin - Topic,1490000,96150000,36
460,키즈/어린이,리콩수콩RikongSukong,1490000,473900000,631
459,미분류,보다 BODA,1490000,720400000,961
458,음악/댄스/가수,선미 SUNMI,1490000,557380000,290
457,TV/방송,Mera,1490000,1367630000,8106
456,스포츠/운동,슛포러브,1490000,1018580000,1160
463,미분류,주부나라,1480000,433250000,1339
462,TV/방송,sNack!,1480000,1339200000,2488
471,주식/경제/부동산,[삼성증권] Samsung POP,1470000,163080000,2800
467,TV/방송,우와한 비디오,1470000,1779870000,2013
466,음식/요리/레시피,승우아빠,1470000,663760000,985
465,음식/요리/레시피,최고다윽박,1470000,981610000,1762
464,뉴스/정치/사회,신의한수,1470000,1141560000,8994
472,미분류,DARA TV,1460000,89760000,220
470,미분류,CHUNG HA_Official,1460000,540720000,335
469,TV/방송,디스커버리 픽 - Discovery Pick,1460000,597970000,1192
468,패션/미용,ssin 씬님,1460000,457640000,835
476,IT/기술/컴퓨터,의학채널 비온뒤,1450000,460940000,10291
475,영화/만화/애니,Puuung 퍼엉,1450000,110760000,475
474,TV/방송,BLACKHAND,1450000,380050000,61
473,패션/미용,kiu기우쌤,1450000,664630000,663
480,음악/댄스/가수,Rock Music,1440000,809900000,9762
479,음악/댄스/가수,2PM,1440000,469120000,497
478,음악/댄스/가수,Apink (에이핑크),1440000,583360000,868
477,음악/댄스/가수,MOVE Dance Studio,1440000,323840000,4043
483,미분류,스튜디오 와플 - STUDIO WAFFLE,1430000,448880000,319
482,TV/방송,안구정화티비 Your Korean Friend Angoo,1430000,136960000,251
481,BJ/인물/연예인,급식왕,1430000,1970930000,1121
484,BJ/인물/연예인,정선호,1430000,693350000,606
486,미분류,호갱구조대,1420000,336520000,201
485,음식/요리/레시피,취미로 요리하는 남자 Yonam,1420000,168090000,123
489,뉴스/정치/사회,빽능 - SBS 옛날 예능,1410000,2140140000,6941
488,음식/요리/레시피,엠브로 MBRO,1410000,0,0
487,BJ/인물/연예인,양팡 YangPang,1410000,1662790000,2897
494,TV/방송,달라스튜디오,1400000,429240000,308
493,BJ/인물/연예인,신세경 sjkuksee,1400000,59160000,41
492,게임,Partition Zion,1400000,753870000,1087
491,음악/댄스/가수,K-Tigers TV,1400000,221820000,527
490,음식/요리/레시피,ARIKITCHEN (아리키친),1400000,404740000,680
497,회사/오피셜,SM C&C STUDIO,1390000,270210000,1811
496,TV/방송,KBS CoolFM,1390000,773530000,13247
495,키즈/어린이,프리티에스더 PrettyEsther,1390000,781010000,750
500,TV/방송,놀면 뭐하니?,1380000,1021010000,1423
499,애완/반려동물,크집사,1380000,376360000,706
498,TV/방송,딩고 스토리 / dingo story,1380000,395860000,442
503,음악/댄스/가수,지켜츄 Chuu Can Do It,1370000,195440000,258
502,뉴스/정치/사회,조선일보,1370000,1138530000,17429
501,음악/댄스/가수,BEAST 비스트 (Official YouTube Channel),1370000,630200000,118
509,음악/댄스/가수,SEVENTEEN Japan official Youtube,1360000,290600000,122
508,주식/경제/부동산,미래에셋 스마트머니,1360000,149410000,3103
507,스포츠/운동,핏블리 FITVELY,1360000,642090000,1510
506,미분류,엄마의손맛,1360000,395660000,895
505,영화/만화/애니,Hello Jadoo TV 안녕 자두야,1360000,439830000,960
504,뉴스/정치/사회,사람사는세상노무현재단,1360000,221090000,1269
514,미분류,제발돼라 PleaseBee,1350000,390170000,258
513,미분류,함께해요 맛나요리,1350000,433990000,1017
512,뉴스/정치/사회,연합뉴스TV,1350000,1908660000,484077
511,뉴스/정치/사회,TBS 시민의방송,1350000,296180000,30251
510,BJ/인물/연예인,NALU,1350000,106130000,178
518,뉴스/정치/사회,SBS Radio 에라오,1340000,766280000,19332
517,음악/댄스/가수,Prepix Dance Studio,1340000,263690000,7002
516,TV/방송,모비딕 Mobidic,1340000,528480000,1661
515,취미/라이프,Bandung Oppa 반둥오빠,1340000,180240000,565
521,음식/요리/레시피,산적TV 밥굽남,1330000,360350000,700
520,뉴스/정치/사회,비디오머그 - VIDEOMUG,1330000,2281400000,7401
519,키즈/어린이,뚜아뚜지TV,1330000,992040000,1935
526,미분류,이지은 다이어트 Jiny diet,1320000,167520000,165
525,미분류,RMC Sport,1320000,722400000,30265
524,BJ/인물/연예인,공부왕찐천재 홍진경,1320000,226530000,218
523,애완/반려동물,정브르,1320000,713130000,1976
522,TV/방송,Solfa,1320000,233180000,49
531,미분류,Tennis TV,1310000,1476050000,7699
530,국내/해외/여행,Rirang OnAir,1310000,211670000,271
529,교육/강의,법륜스님의 즉문즉설,1310000,836090000,2004
528,BJ/인물/연예인,임다TV,1310000,593620000,1893
527,취미/라이프,Squash Clay 쪼물쪼물 클레이,1310000,278920000,517
541,미분류,자세요정 JSYJ,1300000,105090000,146
540,미분류,퍼런안경_BLAS,1300000,352070000,168
539,BJ/인물/연예인,헌터퐝,1300000,420840000,469
538,음악/댄스/가수,MUPLY 뮤플리,1300000,445890000,802
537,음악/댄스/가수,AOA,1300000,784780000,198
536,TV/방송,스튜디오 잼스터,1300000,466650000,499
535,TV/방송,DGG,1300000,76260000,396
534,영화/만화/애니,Tooniverse-투니버스,1300000,935210000,4205
533,음식/요리/레시피,가르마[GARMA],1300000,461250000,1509
532,TV/방송,피키픽처스 Piki Pictures,1300000,663150000,1607
548,미분류,노빠꾸탁재훈,1290000,184890000,98
547,영화/만화/애니,뭅뭅,1290000,466350000,3190
546,음식/요리/레시피,BenDeen,1290000,223150000,658
545,BJ/인물/연예인,철구형 (CHULTUBE),1290000,1346830000,6981
544,미분류,빠더너스 BDNS,1290000,474540000,731
543,취미/라이프,휘트니 whitney bae,1290000,331760000,313
542,게임,테스터훈 TesterHoon,1290000,1198560000,3312
549,취미/라이프,Kim Miso,1280000,124830000,514
555,미분류,Girls On Top,1270000,317250000,21
554,미분류,굿라이프,1270000,230430000,2459
553,TV/방송,KBS 같이삽시다,1270000,776710000,6998
552,미분류,Bravo jamoasi,1270000,272260000,96
551,키즈/어린이,BloxJC,1270000,31440000,67
550,음악/댄스/가수,DaftTaengk,1270000,539310000,5140
562,미분류,뜬뜬 DdeunDdeun,1260000,155920000,131
561,TV/방송,KBS 1라디오,1260000,749840000,22197
560,뉴스/정치/사회,KBS 교양,1260000,1047000000,71369
559,음악/댄스/가수,RealVIXX,1260000,422390000,802
558,음식/요리/레시피,우리의식탁 W TABLE,1260000,111620000,578
557,회사/오피셜,KB국민카드,1260000,235450000,656
556,패션/미용,회사원A,1260000,487710000,762
570,키즈/어린이,나나의인형놀이 Nana'sDollPlay,1250000,425700000,251
569,키즈/어린이,토비아트 - TobiART,1250000,420500000,137
568,미분류,차미툰,1250000,517380000,703
567,미분류,7FATES: CHAKHO by HYBE,1250000,63860000,32
566,미분류,팥쥐,1250000,459080000,102
577,미분류,썰레임 Ssuleim,1250000,500400000,141
565,TV/방송,걍밍경,1250000,153060000,94
564,BJ/인물/연예인,장지수,1250000,505720000,978
563,영화/만화/애니,달빛뮤즈,1250000,336110000,584
578,미분류,지식한입,1240000,148850000,158
576,스포츠/운동,식빵언니 김연경 Bread Unnie,1240000,88570000,98
575,음식/요리/레시피,수빙수tv sooBingsoo,1240000,515930000,462
574,TV/방송,CJ ENM,1240000,1814260000,15140
573,BJ/인물/연예인,ondo온도,1240000,137160000,281
572,취미/라이프,탱구TV,1240000,49550000,27
571,뉴스/정치/사회,[팟빵] 매불쇼,1240000,622410000,1674
582,미분류,랄랄ralral,1230000,520140000,819
581,TV/방송,KBS동물티비 : 애니멀포유 animal4u,1230000,1101670000,3688
580,게임,악어 유튜브,1230000,1623440000,7895
579,음악/댄스/가수,SUPER SOUND Bugs!,1230000,870990000,4292
595,미분류,YGX,1220000,199360000,1758
588,음식/요리/레시피,고기남자 MeatMan,1220000,345730000,159
587,TV/방송,Coreaníssima 엘레나,1220000,95110000,255
586,TV/방송,티캐스트 tcast,1220000,1296100000,9153
585,뉴스/정치/사회,딴지방송국,1220000,342480000,887
584,BJ/인물/연예인,강유미 yumi kang좋아서 하는 채널,1220000,566780000,501
583,음악/댄스/가수,Official A.C.E,1220000,187330000,819
594,미분류,키즐 kizzle,1210000,381100000,426
593,미분류,할명수,1210000,279620000,366
592,음악/댄스/가수,MORE THAN YOUTH,1210000,339800000,928
591,음식/요리/레시피,DICKHUNTER딕헌터🌶,1210000,361110000,483
590,애완/반려동물,haha ha,1210000,494140000,638
589,BJ/인물/연예인,박막례 할머니 Korea_Grandma,1210000,478890000,556
603,미분류,정선근 TV,1200000,63050000,149
602,키즈/어린이,Paint Jelly,1200000,1017860000,235
601,미분류,KCON official,1200000,326790000,5481
600,미분류,짧은대본 ShortPaper,1200000,576660000,363
599,패션/미용,안다 ANDA,1200000,148760000,295
598,TV/방송,별놈들,1200000,590240000,866
597,뉴스/정치/사회,배승희 변호사,1200000,387360000,963
596,패션/미용,lamuqe,1200000,124940000,302
612,BJ/인물/연예인,상해기SangHyuk,1190000,389810000,768
611,뉴스/정치/사회,MBC 라디오 시사,1190000,871300000,15800
610,영화/만화/애니,DAZBEE official,1190000,540150000,195
609,TV/방송,준우,1190000,598400000,497
608,뉴스/정치/사회,신인균의 국방TV,1190000,862870000,2928
614,IT/기술/컴퓨터,오빠두엑셀 l 엑셀 강의 대표채널,1190000,93350000,583
607,취미/라이프,집꾸미기,1190000,173870000,473
606,취미/라이프,rappeler하쁠리,1190000,536500000,1013
605,영화/만화/애니,B Man 삐맨,1190000,712960000,740
618,미분류,KBS 레전드 케이팝,1180000,1038150000,17351
617,키즈/어린이,주니토니 동요동화 - 키즈캐슬,1180000,1065070000,1051
616,음악/댄스/가수,KIM HYUN JOONG.official,1180000,190430000,567
615,TV/방송,eaJ,1180000,45710000,20
613,패션/미용,LeoJ Makeup,1180000,266970000,367
604,BJ/인물/연예인,수상한녀석들,1180000,270280000,176
624,미분류,양장금주부,1170000,314910000,858
623,해외,Variety,1170000,541210000,5224
622,키즈/어린이,마시따 MASITTA,1170000,756690000,251
621,BJ/인물/연예인,Lia Kim,1170000,69420000,65
620,음식/요리/레시피,애주가TV참PD,1170000,646170000,1392
619,BJ/인물/연예인,Cheri Hyeri 체리 혜리,1170000,174770000,488
629,키즈/어린이,Jelly Pong,1160000,160050000,6
628,뉴스/정치/사회,Newstapa,1160000,379350000,4290
627,키즈/어린이,퍼플 토이박스(Purple Toy Box),1160000,719350000,1471
626,음식/요리/레시피,스윗더미 . Sweet The MI,1160000,119230000,318
625,BJ/인물/연예인,사나이 김기훈,1160000,822910000,911
637,키즈/어린이,해피팸(Happy family),1150000,127720000,200
636,미분류,CBS Sports Golazo,1150000,957120000,4643
635,해외,ZeeKay Junior,1150000,1080960000,1247
634,TV/방송,올끌 (All of MBClassic),1150000,2126280000,3485
633,TV/방송,SK telecom,1150000,999130000,2420
632,뉴스/정치/사회,서울의소리 Voice of Seoul News,1150000,1047130000,19581
631,패션/미용,다또아Daddoa,1150000,94450000,190
630,국내/해외/여행,코이티비 KOITV,1150000,1001310000,1894
647,키즈/어린이,키글 토이 - 키즈 장난감,1140000,613920000,1276
646,미분류,싱글벙글,1140000,988090000,320
656,미분류,김창옥TV,1140000,192280000,462
645,음식/요리/레시피,야식이,1140000,468970000,1502
644,영화/만화/애니,WatchcarTV,1140000,558240000,201
643,영화/만화/애니,PLAYY ANI 플레이애니,1140000,510780000,800
642,음악/댄스/가수,Official fromis_9,1140000,530570000,906
641,키즈/어린이,Toystar TV,1140000,520030000,101
640,취미/라이프,예뿍이의 작업방Yeppug,1140000,349720000,836
639,음식/요리/레시피,야식이,1140000,468970000,1502
638,BJ/인물/연예인,긱블 Geekble,1140000,502050000,589
665,미분류,차은우 CHAEUNWOO,1130000,24650000,18
657,키즈/어린이,Boing Boing Kids,1130000,330950000,7
655,미분류,칰타,1130000,371320000,274
654,음악/댄스/가수,강다니엘 KANGDANIEL,1130000,220300000,222
653,BJ/인물/연예인,Godtuk 턱형,1130000,425880000,510
652,영화/만화/애니,신비아파트 공식채널 - Shinbi House,1130000,819690000,2251
651,뉴스/정치/사회,엠빅뉴스,1130000,2728380000,6554
650,키즈/어린이,Minicar Story,1130000,686410000,1896
649,취미/라이프,제이제이살롱드핏,1130000,307370000,732
648,영화/만화/애니,드림텔러(DreamTeller),1130000,206110000,208
664,미분류,알간지Alganzi,1120000,197490000,470
663,미분류,에버랜드 - EVERLAND,1120000,415100000,2589
662,음악/댄스/가수,CLC 씨엘씨 (Official YouTube Channel),1120000,282390000,188
661,TV/방송,z a m,1120000,793310000,3149
660,게임,코너Korner,1120000,926290000,975
659,키즈/어린이,토깽이네,1120000,1485950000,1997
658,음식/요리/레시피,채널주인 부재중,1120000,1187190000,1921
675,미분류,무니키친MoonyKitchen,1110000,148610000,440
674,미분류,하음쿠킹 Haeum Cooking,1110000,186850000,77
673,미분류,육식맨 YOOXICMAN,1110000,271790000,219
672,미분류,TVCHOSUN JOY,1110000,861850000,4155
671,미분류,주둥이방송,1110000,627500000,1908
670,음식/요리/레시피,입질의추억TV jiminTV,1110000,491620000,663
669,키즈/어린이,POYO Music Official,1110000,878410000,1838
668,TV/방송,유병재,1110000,267810000,234
667,패션/미용,써니채널 Sunny's Channel,1110000,114670000,210
666,교육/강의,닥터프렌즈,1110000,287280000,905
681,미분류,랄로,1100000,602730000,457
680,BJ/인물/연예인,크리스 [구 소련여자],1100000,192000000,151
679,미분류,꼰대희,1100000,393310000,378
678,해외,TNT,1100000,712380000,4921
677,음악/댄스/가수,CNBLUE (씨엔블루),1100000,268450000,231
676,게임,돼지저금통,1100000,1855480000,4575
691,미분류,집밥 korean home cooking,1090000,487460000,1511
690,미분류,식탁보감,1090000,130570000,400
689,키즈/어린이,woojoo우주,1090000,361000000,85
688,게임,유키 YOUKI,1090000,275200000,1043
687,음악/댄스/가수,PLEDIS ENTERTAINMENT,1090000,289220000,260
686,TV/방송,fantagio 판타지오,1090000,357230000,317
685,TV/방송,띵픽,1090000,215750000,868
684,게임,재넌Jaenune,1090000,736600000,1167
683,게임,기리TV,1090000,1323260000,2825
682,BJ/인물/연예인,유준호,1090000,576150000,1461
698,미분류,KPOP JAMM,1080000,435190000,2399
697,게임,괴물쥐 유튜브,1080000,1137200000,1446
696,미분류,정찬성 Korean Zombie,1080000,353420000,330
695,음악/댄스/가수,MUSIC&NEW 뮤직앤뉴,1080000,1278690000,9751
694,뉴스/정치/사회,한국경제TV,1080000,310430000,33735
693,주식/경제/부동산,부읽남TV_내집마련부터건물주까지,1080000,195960000,1579
692,음악/댄스/가수,UPVOTE Entertainment,1080000,273240000,1382
704,키즈/어린이,TOMONCAR,1070000,622390000,498
703,미분류,셜록현준,1070000,101150000,161
702,미분류,유우키의 일본이야기 YUUKI,1070000,316930000,290
701,뉴스/정치/사회,CBS 김현정의 뉴스쇼,1070000,635760000,14949
700,스포츠/운동,말왕TV,1070000,420710000,1033
699,취미/라이프,효기심,1070000,132560000,153
711,미분류,너 진짜 똑똑하다,1060000,83160000,164
710,미분류,연스커플 Yeon's Couple,1060000,295220000,397
709,TV/방송,뻑가 PPKKa,1060000,982260000,1132
708,TV/방송,Kyunghamin твоя корейская онни,1060000,139000000,439
707,자동차,김한용의 MOCAR,1060000,638180000,2176
706,키즈/어린이,마이린 TV,1060000,862470000,2702
705,TV/방송,딩고 스튜디오 / dingo studio,1060000,425530000,975
718,미분류,이영지,1050000,170420000,44
717,미분류,이리오너라,1050000,152070000,2051
716,미분류,샾잉 #ing,1050000,3043860000,25762
715,음악/댄스/가수,MBC every1,1050000,1393820000,21194
714,교육/강의,친절한 대학,1050000,116510000,803
713,게임,쁘허,1050000,469490000,1362
712,게임,잉여맨 유튜브,1050000,1142350000,2855
726,미분류,[ASMR]nara_나라,1040000,194470000,374
725,영화/만화/애니,DinoCore TUBA,1040000,752020000,863
724,음악/댄스/가수,DanalEntertainment,1040000,425750000,12581
723,음악/댄스/가수,OH MY GIRL,1040000,693040000,491
722,TV/방송,V LIVE,1040000,637840000,2821
721,음악/댄스/가수,라이징 보이스 | RISING VOICE,1040000,542710000,4383
720,자동차,우파푸른하늘Woopa TV,1040000,670670000,1978
719,게임,릴카,1040000,478900000,1126
734,미분류,CIX Official,1030000,215040000,543
733,BJ/인물/연예인,하하 PD HAHA PD,1030000,125870000,296
732,미분류,토모토모TomoTomo,1030000,233300000,207
731,키즈/어린이,Robot Trains official,1030000,773920000,744
730,TV/방송,뉴스엔·NewsenTV,1030000,408420000,15662
729,TV/방송,sankokesl,1030000,9570000,120
728,키즈/어린이,Action Story,1030000,503990000,1899
727,영화/만화/애니,어퍼컷Tube,1030000,172060000,223
743,키즈/어린이,호기! 핑크퐁 - 놀면서 배워요,1020000,597450000,1131
742,미분류,Family Kim 패밀리김,1020000,201030000,315
741,미분류,시니어전성시대,1020000,204570000,512
740,미분류,[윤이련]50년 요리비결,1020000,335660000,531
739,미분류,조여사전성시대,1020000,276430000,776
738,음악/댄스/가수,H1GHR MUSIC,1020000,321360000,659
737,게임,텔론,1020000,1189260000,4463
736,게임,램램TV,1020000,990150000,2831
735,TV/방송,볼라이트 BallRight,1020000,180000,41
753,키즈/어린이,Bus Car Story,1010000,492180000,434
752,미분류,메리니즈부엌Meliniskitchen,1010000,198720000,258
751,뉴스/정치/사회,채널A 뉴스TOP10,1010000,985730000,22370
750,TV/방송,바바요 by iHQ,1010000,794150000,7890
749,키즈/어린이,로보카폴리 TV,1010000,668130000,1694
748,게임,Charming Jo 조매력,1010000,411450000,1605
747,패션/미용,디렉터 파이,1010000,169210000,395
746,BJ/인물/연예인,Sibong AI 시봉 AI,1010000,64980000,968
745,BJ/인물/연예인,U.M.A.우마,1010000,272750000,147
744,애완/반려동물,소녀의행성 Girlsplanet,1010000,430340000,602
760,미분류,GUCCI,1000000,288660000,828
759,키즈/어린이,Toy box,1000000,192680000,391
758,미분류,꽉잡아윤기-Kwakyoongy,1000000,291480000,815
757,뉴스/정치/사회,MTN 머니투데이방송,1000000,1353510000,73443
756,TV/방송,KBS Joy,1000000,1989140000,15611
755,게임,범석TV,1000000,830900000,1944
754,음식/요리/레시피,맛있는 녀석들 (Tasty Guys),1000000,1361030000,4682
761,게임,T1,990000,340500000,2849
762,교육/강의,공부의신 강성태,990000,323220000,2878
763,BJ/인물/연예인,내가조우남,990000,447530000,1228
764,음식/요리/레시피,삼대장 Samdaejang,990000,655170000,1509
765,미분류,과학드림 [Science Dream],990000,209620000,153
767,미분류,집나간아들 Runaway Son,990000,469220000,1022
766,음악/댄스/가수,SF9,990000,118560000,563
769,게임,GCL 지씨엘,990000,339230000,412
768,TV/방송,YG TREASURE BOX,980000,304330000,496
772,미분류,지식해적단,980000,128920000,177
771,BJ/인물/연예인,슛뚜sueddu,980000,57320000,277
770,음악/댄스/가수,New k-pop 뉴케이팝,980000,10000,26
774,미분류,deemd 딤디,980000,128570000,214
773,미분류,채꾸똥꾸 (Cherry & Dong),980000,337530000,306
775,TV/방송,밍꼬발랄Mingggo,980000,1487390000,851
777,미분류,오늘의 주우재,980000,161590000,411
776,게임,탁주 쪼꼬,980000,2426820000,2741
778,게임,킴성태TV,980000,860240000,2095
780,미분류,BIBI,970000,387880000,60
779,TV/방송,덕출 : DCTVGO,970000,404100000,767
781,교육/강의,미미미누,970000,422880000,845
782,키즈/어린이,드래곤디🎵 | 키즈 율동 동요,970000,786230000,1149
785,키즈/어린이,판타스틱  패밀리,970000,173130000,7
784,키즈/어린이,JoyKids,970000,570360000,286
783,TV/방송,MAXIM KOREA,970000,277740000,1395
786,미분류,건나물TV,960000,434310000,826
788,게임,Dorami,960000,250160000,1228
787,미분류,1분만,960000,610840000,1181
789,미분류,VOGUE Taiwan,950000,330370000,7656
793,미분류,ZEROBASEONE,950000,76360000,127
790,미분류,Yummy Waffle 야미와플,950000,1096750000,399
792,음식/요리/레시피,얌무YAMMoo,950000,201460000,565
791,교육/강의,라이브 아카데미,950000,101090000,1139
794,영화/만화/애니,토킹톰앤프렌즈,950000,365600000,341
796,음악/댄스/가수,PARK JIHOON Official,950000,66960000,331
795,TV/방송,Zaty Farhani,950000,1218960000,2779
799,취미/라이프,ColorMonsters Toy,950000,548910000,1040
798,음식/요리/레시피,허미노MINO,950000,411510000,2100
797,음악/댄스/가수,ALiEN,950000,213970000,395
801,교육/강의,법륜스님의 희망세상만들기,940000,471660000,988
800,패션/미용,Saerom Min개코의 오픈스튜디오,940000,158090000,267
802,취미/라이프,츄팝,940000,468590000,478
804,키즈/어린이,신나TV,940000,10000,14
803,국내/해외/여행,EBS 컬렉션 - 라이프스타일,940000,634920000,3714
805,미분류,달리 [SBS DALI],940000,442680000,708
806,TV/방송,이라이라경 ravely,940000,481830000,621
807,음악/댄스/가수,LJ Dance,940000,172930000,3063
808,게임,액션홍구,940000,693000000,3417
811,키즈/어린이,베이비버스 장난감 친구들!,930000,352720000,355
810,음식/요리/레시피,the BOB studio | 더 밥 스튜디오,930000,245080000,1196
809,TV/방송,배꼽빌라,930000,405710000,689
813,BJ/인물/연예인,소근부부 S.K.Couple,930000,383960000,522
812,영화/만화/애니,구불,930000,333430000,339
814,미분류,과나gwana,930000,268980000,176
815,뉴스/정치/사회,팩트TV NEWS,930000,365420000,7667
817,음악/댄스/가수,wondergirls,930000,535670000,217
816,BJ/인물/연예인,띠미 ddimmi,930000,497730000,1004
818,키즈/어린이,Pink Ping World,930000,304280000,474
824,TV/방송,디스패치 / Dispatch,920000,201770000,8892
823,뉴스/정치/사회,고성국TV,920000,293040000,4889
821,미분류,ootb STUDIO,920000,377160000,199
820,미분류,집나간햄지 Wandering Hamzy,920000,78200000,148
819,게임,LCK,920000,1168780000,7819
822,취미/라이프,희철리즘Heechulism,920000,239700000,359
825,게임,김왼팔,920000,731360000,2884
829,미분류,빵먹다살찐떡,920000,1134620000,704
826,TV/방송,히스토리,920000,682440000,2549
827,TV/방송,TongTongCulture,920000,676790000,12974
828,미분류,직업의모든것,910000,462920000,462
831,미분류,푸먹_foomuk,910000,477870000,66
830,애완/반려동물,다흑,910000,661880000,2902
833,영화/만화/애니,STUDIO LICO,910000,153640000,303
832,키즈/어린이,메카드 - MECARD OFFICIAL,910000,787510000,1633
836,TV/방송,KBS Entertain: 깔깔티비,910000,1567550000,6966
835,음악/댄스/가수,장범준,910000,585220000,504
834,IT/기술/컴퓨터,안될과학 Unrealscience,910000,156390000,902
838,미분류,밀라논나 Milanonna,900000,80030000,109
837,미분류,BRUSH,900000,432190000,454
839,취미/라이프,Soy ASMR,900000,205110000,606
840,미분류,815머니톡,900000,377940000,6679
842,미분류,웅이woongei,900000,419560000,593
841,BJ/인물/연예인,성수커플 - S.S Couple,900000,0,0
846,영화/만화/애니,람다람 RAMDARAM,900000,128540000,128
845,뉴스/정치/사회,스브스뉴스 SUBUSUNEWS,900000,1205930000,3846
844,음악/댄스/가수,PianiCast - 피아니캐스트,900000,293430000,112
843,애완/반려동물,냥이아빠,900000,420990000,763
847,미분류,프응TV,900000,281930000,277
849,음악/댄스/가수,Healing Meditation,900000,123980000,421
848,음악/댄스/가수,missA,900000,435650000,49
850,미분류,leeminho film,890000,16350000,22
851,음악/댄스/가수,HYOLYN 효린,890000,316680000,279
852,음식/요리/레시피,소프,890000,363580000,1589
853,국내/해외/여행,Sophie Kim _하은,890000,29700000,129
854,TV/방송,Megan Moon,890000,153810000,563
855,키즈/어린이,고고다이노,890000,720630000,1053
858,키즈/어린이,버섯도리,880000,1229290000,999
857,취미/라이프,Dana ASMR,880000,318570000,255
856,IT/기술/컴퓨터,1분과학,880000,90610000,78
862,미분류,재밌는 거 올라온다,880000,388500000,239
860,미분류,TAEYONG,880000,12650000,20
859,뉴스/정치/사회,여수MBC Music+(Kpop&Trot),880000,552800000,16617
861,키즈/어린이,우가놀이 WOOGA play,880000,394220000,445
863,취미/라이프,이연LEEYEON,880000,80770000,345
864,국내/해외/여행,끼룩푸드 seagull food,880000,613010000,709
865,뉴스/정치/사회,연합뉴스 Yonhapnews,870000,2403360000,37811
866,뉴스/정치/사회,성제준,870000,433850000,2530
869,미분류,코믹마트,870000,639950000,981
868,키즈/어린이,Boram Tube Friends,870000,7360000,73
867,TV/방송,김달,870000,381930000,866
870,TV/방송,코미꼬,870000,356760000,747
871,게임,군림보,870000,772290000,5472
873,미분류,HWASA,870000,210520000,29
872,TV/방송,하나키키 Hanakiki,870000,376370000,941
874,국내/해외/여행,진정부부,870000,367140000,356
875,키즈/어린이,LarvaKIDS TUBA,870000,632960000,537
877,키즈/어린이,롤롤라임[lollolraim],860000,109170000,143
876,TV/방송,타임스낵,860000,326480000,333
879,미분류,지피티,860000,337480000,1070
878,BJ/인물/연예인,풍자테레비,860000,345890000,1372
882,미분류,교양만두,860000,295040000,280
881,뉴스/정치/사회,전옥현 안보정론TV,860000,284620000,3282
880,미분류,랭킹스쿨,860000,573520000,994
883,BJ/인물/연예인,남순 NS,860000,968100000,3676
885,미분류,복지마블TV [Welfare Marble],860000,127060000,628
884,음식/요리/레시피,서담 seodam,860000,192710000,418
889,미분류,VIVINOS,860000,115590000,44
886,패션/미용,윤쨔미 YoonCharmi,860000,246500000,377
888,BJ/인물/연예인,(MUTUBE)와꾸대장봉준,860000,959850000,7805
887,영화/만화/애니,빨강도깨비,860000,365090000,358
890,음악/댄스/가수,MBC WORLD,860000,652060000,5158
893,미분류,CookieRun: Kingdom,850000,111870000,302
892,미분류,유 퀴즈 온 더 튜브,850000,536970000,4499
891,게임,울산큰고래 박성주,850000,749220000,3702
895,교육/강의,동심파괴,850000,386630000,768
894,게임,머독방송,850000,992260000,11876
899,미분류,조충현,850000,344320000,715
896,음악/댄스/가수,HOLLAND,850000,32610000,38
898,게임,밍모,850000,656160000,2650
897,음악/댄스/가수,HEADLINER,850000,226960000,208
901,미분류,쿡피아 Cookpia,850000,158640000,286
900,미분류,TVING,850000,1358420000,7891
902,TV/방송,스튜디오 룰루랄라 디랩 - SLLDLAB,850000,369440000,1386
903,취미/라이프,Mimine Miniature 미미네 미니어처,840000,182340000,188
904,키즈/어린이,말랑이랑 with a malang,840000,561330000,706
906,취미/라이프,공구왕황부장,840000,259530000,638
905,뉴스/정치/사회,펜앤드마이크TV,840000,165820000,2046
908,미분류,ROKSEAL,840000,152530000,230
907,TV/방송,라이프타임,840000,362070000,2150
909,미분류,JUNTV,840000,76330000,314
913,미분류,정라레_Lifestyle Doctor,840000,158780000,579
912,미분류,인생84,840000,93060000,124
910,음악/댄스/가수,OFFICIAL EPIK HIGH,840000,448700000,259
911,뉴스/정치/사회,이재명,840000,186650000,2332
915,음식/요리/레시피,영자씨의 부엌Young-Ja's Kitchen,830000,257550000,1580
914,패션/미용,Jella젤라,830000,66920000,241
916,취미/라이프,달려라치킨 Dalchi,830000,223160000,676
917,미분류,CU [씨유튜브],830000,232680000,651
920,뉴스/정치/사회,MBC PD수첩,830000,394220000,2585
919,음악/댄스/가수,TSENT2008,830000,396780000,445
918,패션/미용,UNA 유나,830000,72740000,179
922,키즈/어린이,Enjoy Toys Shin,830000,374590000,247
921,TV/방송,smile -wA-,830000,521350000,5423
924,미분류,빨간내복야코,830000,662480000,304
923,TV/방송,k,830000,636170000,0
