순위,카테고리,채널명,구독자수,조회수,비디오수
99,음식/요리/레시피,떵개떵,4940000,3058600000,5030
102,키즈/어린이,CoCosToy 꼬꼬스토이,4870000,3171970000,744
104,애완/반려동물,SBS TV동물농장x애니멀봐,4860000,4758210000,4504
103,음식/요리/레시피,Cooking tree 쿠킹트리,4860000,513060000,1634
105,키즈/어린이,ToyMart TV,4850000,1998780000,758
106,음식/요리/레시피,까니짱 [ G-NI : 蟹ちゃん],4810000,1452060000,826
107,TV/방송,JTBC Drama,4800000,5406620000,29041
108,음악/댄스/가수,STUDIO CHOOM [스튜디오 춤],4760000,2739520000,1774
109,미분류,행복지수 103%,4680000,54610000,16
110,TV/방송,딩고 뮤직 / dingo music,4640000,2063530000,2117
111,취미/라이프,JaeYeol ASMR 재열,4520000,1415850000,1296
112,TV/방송,tvN D ENT,4500000,9931460000,30390
113,TV/방송,채널 NCT DAILY,4470000,861840000,467
114,미분류,Walt Disney Studios,4460000,1967420000,1468
116,게임,소맥거핀,4450000,1808180000,327
115,음악/댄스/가수,Raon,4450000,1171800000,447
117,음식/요리/레시피,하루한끼 one meal a day,4380000,477290000,225
118,음식/요리/레시피,ZOEY ASMR 조이,4370000,1192750000,895
119,키즈/어린이,슈슈토이 ShushuToysReview,4320000,1427680000,495
120,미분류,Juventus,4220000,993000000,4412
121,BJ/인물/연예인,ARTBEAT,4190000,1535630000,3030
122,키즈/어린이,키즈팡TV,4160000,2512610000,2235
124,음식/요리/레시피,[Dorothy]도로시,4150000,1051860000,964
123,BJ/인물/연예인,허팝Heopop,4150000,3928730000,2214
125,키즈/어린이,로미유 스토리 Romiyu Story,4130000,380220000,260
126,뉴스/정치/사회,YTN,4100000,11726080000,705898
127,음악/댄스/가수,WINNER,4070000,1495260000,631
128,키즈/어린이,English Singsing,4020000,888250000,1357
129,TV/방송,워크맨-Workman,3970000,1135560000,366
131,TV/방송,옐언니,3940000,2819950000,869
130,TV/방송,TV-People,3940000,4813480000,21096
133,TV/방송,KBS Drama,3930000,5431750000,133455
132,키즈/어린이,제이제이 튜브 [JJ Tube],3930000,2581210000,515
134,TV/방송,tvN,3910000,6605000000,85395
135,음식/요리/레시피,푸드킹덤 Food Kingdom,3890000,1850920000,1190
136,미분류,LE SSERAFIM,3860000,1670140000,632
137,음악/댄스/가수,Jessi,3840000,900410000,60
138,TV/방송,JTBC Voyage,3810000,5145080000,12215
140,키즈/어린이,유니가치 YuniGachi,3800000,78830000,78
139,애완/반려동물,크림히어로즈,3800000,1673510000,1094
141,키즈/어린이,Lime Tube[라임튜브],3790000,2899130000,2277
142,키즈/어린이,EVANS,3780000,40000,9
145,뉴스/정치/사회,SBS 뉴스,3750000,8290480000,190930
143,키즈/어린이,헤이지니 Hey Jini,3750000,2874990000,1625
146,회사/오피셜,Billboard,3740000,1447700000,9544
144,뉴스/정치/사회,MBCNEWS,3740000,12662720000,204377
147,취미/라이프,drawholic,3730000,505070000,401
148,BJ/인물/연예인,waveya 2011,3720000,1406600000,818
150,키즈/어린이,Like Nastya Collections,3680000,1058510000,550
149,음악/댄스/가수,백현 Baekhyun,3680000,49670000,18
151,음식/요리/레시피,Chihun ASMR 치훈,3670000,830160000,751
152,음악/댄스/가수,KARD,3660000,790950000,487
153,키즈/어린이,Milana FamilyShow[EN],3640000,1093200000,118
154,미분류,FC Bayern München,3600000,1460170000,5458
155,영화/만화/애니,장삐쭈,3590000,1920740000,545
157,TV/방송,옛드 : MBC 레전드 드라마,3580000,6590100000,45393
156,음악/댄스/가수,imlisarhee,3580000,588520000,756
158,키즈/어린이,Boram y Juguetes,3540000,860480000,462
160,TV/방송,ATEEZ,3510000,692540000,1114
159,BJ/인물/연예인,JOLLY,3510000,987950000,657
161,미분류,Bleacher Report,3490000,2701120000,10840
162,음악/댄스/가수,THEBLACKLABEL,3480000,1132760000,164
163,키즈/어린이,Boys Playtime,3440000,1566790000,675
164,TV/방송,EBSDocumentary (EBS 다큐),3410000,3397140000,37070
165,키즈/어린이,EBS 키즈,3380000,4649440000,21895
166,TV/방송,솔라시도 solarsido,3370000,253400000,405
169,미분류,차린건 쥐뿔도 없지만,3330000,305720000,36
168,음악/댄스/가수,JAY PARK,3330000,1189040000,228
167,취미/라이프,사나고 Sanago,3330000,594860000,188
170,키즈/어린이,럭키강이 LuckyKang i,3290000,1529070000,1589
171,키즈/어린이,리월드RIWORLD,3280000,1369170000,214
173,음식/요리/레시피,유디티TV,3240000,701100000,1168
172,BJ/인물/연예인,보겸TV,3240000,2737890000,8927
174,취미/라이프,odg,3220000,723330000,253
175,미분류,Louis Vuitton,3170000,532420000,641
176,키즈/어린이,꼬마버스 타요,3150000,2448480000,3122
177,키즈/어린이,Bob ToysReview,3140000,1328140000,201
180,음악/댄스/가수,HyunA,3130000,617570000,83
179,TV/방송,런닝맨 - 스브스 공식 채널,3130000,5035130000,55550
178,키즈/어린이,Adventure Story,3130000,1827490000,3984
181,뉴스/정치/사회,TVCHOSUN - TV조선,3120000,5348470000,88921
183,미분류,BABYMONSTER,3100000,436420000,46
182,키즈/어린이,MariAndToys,3100000,830000,71
185,스포츠/운동,피지컬갤러리,3090000,856150000,933
184,영화/만화/애니,지무비 : G Movie,3090000,1357360000,537
186,음식/요리/레시피,애정 Aejeong,3080000,619990000,692
187,뉴스/정치/사회,SBS Catch,3050000,3449950000,6072
189,취미/라이프,Thankyou BUBU,3030000,605400000,134
188,음식/요리/레시피,흥삼이네 Heungsam's Family,3030000,1640870000,1819
190,음식/요리/레시피,FRAN,3020000,1119790000,1839
191,뉴스/정치/사회,JTBC News,2990000,7348160000,177830
194,TV/방송,디글 :Diggle,2980000,6708030000,35049
193,키즈/어린이,MariAndFriends,2980000,2239900000,2220
192,영화/만화/애니,총몇명,2980000,1365950000,490
195,음악/댄스/가수,AKMU,2950000,1068770000,186
197,미분류,IVE,2940000,1347390000,486
196,음식/요리/레시피,지현꿍,2940000,310290000,162
199,스포츠/운동,김종국 GYM JONG KOOK,2930000,329170000,154
198,영화/만화/애니,CheezeFilm,2930000,1036250000,406
200,음악/댄스/가수,GIRLS' GENERATION,2920000,467400000,130
201,취미/라이프,Pan K's The Pancake Artist,2900000,984420000,654
202,BJ/인물/연예인,International Couple[사샤와 제이],2890000,461480000,228
203,음악/댄스/가수,새송 Saesong,2880000,326070000,260
204,음식/요리/레시피,양수빈,2860000,539620000,412
206,해외,The Wiggles - Kids Songs and Nursery Rhymes,2790000,3855610000,829
205,교육/강의,슈카월드,2790000,798270000,1484
207,음식/요리/레시피,나도Nado,2780000,844940000,948
208,영화/만화/애니,짤툰,2760000,2372370000,1590
209,미분류,쿠킹하루 Cooking Haru :),2720000,340780000,193
210,미분류,숏박스,2690000,558290000,106
212,BJ/인물/연예인,진용진,2680000,997430000,573
211,음식/요리/레시피,한세 HANSE,2680000,456930000,702
214,음악/댄스/가수,THE K-POP,2640000,964900000,14082
213,취미/라이프,ASMR PPOMO,2640000,809670000,612
215,키즈/어린이,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",2630000,3258810000,1244
218,미분류,Stray Kids Japan Official YouTube,2620000,369530000,218
217,TV/방송,키에커,2620000,1184470000,322
216,BJ/인물/연예인,흔한남매,2620000,3225490000,1184
219,미분류,Christian Dior,2610000,677590000,1357
221,음악/댄스/가수,KQ ENTERTAINMENT,2590000,1314450000,653
220,키즈/어린이,보라미TV BoramiTV,2590000,910880000,626
222,미분류,식탁일기 table diary,2580000,365640000,210
225,음악/댄스/가수,MONSTA X,2560000,552990000,708
224,미분류,ROOKIE MING 루키밍,2560000,1552910000,915
223,뉴스/정치/사회,채널A 캔버스,2560000,3624570000,44474
226,TV/방송,스브스 예능맛집,2540000,2442390000,4838
227,뉴스/정치/사회,KBS News,2530000,5585640000,270170
228,미분류,1분요리 뚝딱이형,2510000,1206740000,972
229,음악/댄스/가수,OfficialGDRAGON,2490000,209870000,3
230,음악/댄스/가수,SHINee,2480000,419660000,432
231,음식/요리/레시피,[Nareum_TV] 나름TV,2470000,875120000,956
232,미분류,Kep1er,2450000,698190000,622
234,패션/미용,미지우 MEJIWOO,2440000,50110000,72
233,BJ/인물/연예인,대생 Daesaeng,2440000,1930870000,2042
236,미분류,뽀송한 준_bosungjun,2430000,266430000,384
235,뉴스/정치/사회,디글 클래식 :Diggle Classic,2430000,6271700000,38147
237,TV/방송,PLAYLIST ORIGINALS 플레이리스트 오리지널,2420000,1092670000,892
